I0123 06:53:03.872569    7233 serve.go:43] cloudcode_cli (Dec 13 2024 19:12:39 -0800, cl:706081154 baseline:702868922)
I0123 06:53:03.872703    7233 serve.go:44] Command line: ["/home/biswabandita_rout/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0123 06:53:03.875753    7233 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0123 06:53:04.011275    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:04.011336    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:04.011367    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:04.011390    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:04.011412    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:04.011450    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ca1cf9 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:04.011493    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ca1d09 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:04.011747    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:04.012084    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:04.012107    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:04.012160    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:04.012172    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:04.013583    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0123 06:53:04.218225    7233 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I0123 06:53:04.218244    7233 handler.go:163] cancel requested for 1 but not found
W0123 06:53:06.039439    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:06.069946    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:06.070001    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:06.070016    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:06.070040    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:06.070090    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
