I0124 13:14:32.871879   18245 serve.go:43] cloudcode_cli (Dec 13 2024 19:12:39 -0800, cl:706081154 baseline:702868922)
I0124 13:14:32.871920   18245 serve.go:44] Command line: ["/home/biswabandita_rout/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0124 13:14:32.874807   18245 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0124 13:14:32.995188   18245 configuration.go:182] product updateChannel will be used
W0124 13:14:32.995236   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:14:32.995249   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:14:32.995267   18245 configuration.go:639] language thresholds: map[]
I0124 13:14:32.995285   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:14:32.995307   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018e05e9 StopSequences:map[] DataFilePromptLines:0}
I0124 13:14:32.995366   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018e05f9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:14:32.995561   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:14:32.995607   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:14:32.995620   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:14:32.995668   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:14:32.995679   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:14:32.997457   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0124 13:14:33.211596   18245 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I0124 13:14:33.211616   18245 handler.go:163] cancel requested for 1 but not found
W0124 13:17:44.660335   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:44.663787   18245 handler.go:159] cancel was requested for: 5, needs to be canceled: true
I0124 13:17:44.669588   18245 handler.go:159] cancel was requested for: 4, needs to be canceled: true
I0124 13:17:44.682714   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:44.682816   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.682833   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:44.682854   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:44.682876   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:44.682905   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018e11b9 StopSequences:map[] DataFilePromptLines:0}
